Format,2.0A,
Memory Length,5000,
Trigger Level,35.0mV,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,2.000E-02,
Vertical Position,-1.136E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,4.530E-05,
Horizontal Mode,Main,
Sampling Period,2.000E-08,
Firmware,V1.13,
Time,15-Nov-18 23:37:02,
Mode,Detail,
Waveform Data,
-9.530000e-05,7.12e-02,
-9.528000e-05,6.96e-02,
-9.526000e-05,7.12e-02,
-9.524000e-05,6.96e-02,
-9.522000e-05,7.20e-02,
-9.520000e-05,6.88e-02,
-9.518000e-05,7.20e-02,
-9.516000e-05,6.88e-02,
-9.514000e-05,7.12e-02,
-9.512000e-05,6.88e-02,
-9.510000e-05,7.12e-02,
-9.508000e-05,6.88e-02,
-9.506000e-05,7.04e-02,
-9.504000e-05,6.96e-02,
-9.502000e-05,7.12e-02,
-9.500000e-05,6.88e-02,
-9.498000e-05,7.12e-02,
-9.496000e-05,6.96e-02,
-9.494000e-05,7.12e-02,
-9.492000e-05,6.88e-02,
-9.490000e-05,7.12e-02,
-9.488000e-05,6.96e-02,
-9.486000e-05,7.12e-02,
-9.484000e-05,6.96e-02,
-9.482000e-05,7.12e-02,
-9.480000e-05,6.96e-02,
-9.478000e-05,7.12e-02,
-9.476000e-05,6.88e-02,
-9.474000e-05,7.04e-02,
-9.472000e-05,6.96e-02,
-9.470000e-05,7.04e-02,
-9.468000e-05,6.88e-02,
-9.466000e-05,7.12e-02,
-9.464000e-05,6.88e-02,
-9.462000e-05,7.04e-02,
-9.460000e-05,6.88e-02,
-9.458000e-05,7.12e-02,
-9.456000e-05,6.88e-02,
-9.454000e-05,7.12e-02,
-9.452000e-05,6.88e-02,
-9.450000e-05,7.12e-02,
-9.448000e-05,6.88e-02,
-9.446000e-05,7.04e-02,
-9.444000e-05,6.88e-02,
-9.442000e-05,7.04e-02,
-9.440000e-05,6.88e-02,
-9.438000e-05,7.04e-02,
-9.436000e-05,6.88e-02,
-9.434000e-05,7.12e-02,
-9.432000e-05,6.88e-02,
-9.430000e-05,7.12e-02,
-9.428000e-05,6.80e-02,
-9.426000e-05,7.04e-02,
-9.424000e-05,6.88e-02,
-9.422000e-05,7.04e-02,
-9.420000e-05,6.88e-02,
-9.418000e-05,7.04e-02,
-9.416000e-05,6.88e-02,
-9.414000e-05,7.04e-02,
-9.412000e-05,6.88e-02,
-9.410000e-05,7.04e-02,
-9.408000e-05,6.88e-02,
-9.406000e-05,7.04e-02,
-9.404000e-05,6.96e-02,
-9.402000e-05,7.04e-02,
-9.400000e-05,6.88e-02,
-9.398000e-05,7.04e-02,
-9.396000e-05,6.88e-02,
-9.394000e-05,7.04e-02,
-9.392000e-05,6.88e-02,
-9.390000e-05,7.12e-02,
-9.388000e-05,6.80e-02,
-9.386000e-05,7.04e-02,
-9.384000e-05,6.80e-02,
-9.382000e-05,7.04e-02,
-9.380000e-05,6.72e-02,
-9.378000e-05,6.96e-02,
-9.376000e-05,6.80e-02,
-9.374000e-05,6.96e-02,
-9.372000e-05,6.80e-02,
-9.370000e-05,6.96e-02,
-9.368000e-05,6.80e-02,
-9.366000e-05,6.96e-02,
-9.364000e-05,6.80e-02,
-9.362000e-05,7.04e-02,
-9.360000e-05,6.80e-02,
-9.358000e-05,7.04e-02,
-9.356000e-05,6.80e-02,
-9.354000e-05,6.96e-02,
-9.352000e-05,6.80e-02,
-9.350000e-05,7.04e-02,
-9.348000e-05,6.80e-02,
-9.346000e-05,7.04e-02,
-9.344000e-05,6.80e-02,
-9.342000e-05,6.96e-02,
-9.340000e-05,6.96e-02,
-9.338000e-05,7.04e-02,
-9.336000e-05,6.88e-02,
-9.334000e-05,7.04e-02,
-9.332000e-05,6.88e-02,
-9.330000e-05,7.12e-02,
-9.328000e-05,6.80e-02,
-9.326000e-05,7.04e-02,
-9.324000e-05,6.80e-02,
-9.322000e-05,7.04e-02,
-9.320000e-05,6.80e-02,
-9.318000e-05,7.04e-02,
-9.316000e-05,6.88e-02,
-9.314000e-05,7.04e-02,
-9.312000e-05,6.88e-02,
-9.310000e-05,7.12e-02,
-9.308000e-05,6.88e-02,
-9.306000e-05,7.04e-02,
-9.304000e-05,6.88e-02,
-9.302000e-05,7.04e-02,
-9.300000e-05,6.88e-02,
-9.298000e-05,7.04e-02,
-9.296000e-05,6.88e-02,
-9.294000e-05,7.04e-02,
-9.292000e-05,6.88e-02,
-9.290000e-05,7.04e-02,
-9.288000e-05,6.88e-02,
-9.286000e-05,7.04e-02,
-9.284000e-05,6.88e-02,
-9.282000e-05,7.04e-02,
-9.280000e-05,6.88e-02,
-9.278000e-05,7.12e-02,
-9.276000e-05,6.88e-02,
-9.274000e-05,7.04e-02,
-9.272000e-05,6.88e-02,
-9.270000e-05,7.04e-02,
-9.268000e-05,6.88e-02,
-9.266000e-05,7.12e-02,
-9.264000e-05,6.88e-02,
-9.262000e-05,7.04e-02,
-9.260000e-05,6.88e-02,
-9.258000e-05,7.04e-02,
-9.256000e-05,6.88e-02,
-9.254000e-05,7.04e-02,
-9.252000e-05,6.96e-02,
-9.250000e-05,7.04e-02,
-9.248000e-05,7.04e-02,
-9.246000e-05,7.12e-02,
-9.244000e-05,7.04e-02,
-9.242000e-05,7.12e-02,
-9.240000e-05,7.04e-02,
-9.238000e-05,7.20e-02,
-9.236000e-05,6.96e-02,
-9.234000e-05,7.12e-02,
-9.232000e-05,7.12e-02,
-9.230000e-05,7.28e-02,
-9.228000e-05,6.96e-02,
-9.226000e-05,7.20e-02,
-9.224000e-05,6.96e-02,
-9.222000e-05,7.20e-02,
-9.220000e-05,6.96e-02,
-9.218000e-05,7.12e-02,
-9.216000e-05,7.04e-02,
-9.214000e-05,7.20e-02,
-9.212000e-05,7.04e-02,
-9.210000e-05,7.20e-02,
-9.208000e-05,7.12e-02,
-9.206000e-05,7.28e-02,
-9.204000e-05,7.04e-02,
-9.202000e-05,7.28e-02,
-9.200000e-05,7.04e-02,
-9.198000e-05,7.20e-02,
-9.196000e-05,7.04e-02,
-9.194000e-05,7.20e-02,
-9.192000e-05,7.04e-02,
-9.190000e-05,7.12e-02,
-9.188000e-05,7.12e-02,
-9.186000e-05,7.20e-02,
-9.184000e-05,7.04e-02,
-9.182000e-05,7.28e-02,
-9.180000e-05,7.04e-02,
-9.178000e-05,7.28e-02,
-9.176000e-05,7.04e-02,
-9.174000e-05,7.20e-02,
-9.172000e-05,6.96e-02,
-9.170000e-05,7.20e-02,
-9.168000e-05,6.96e-02,
-9.166000e-05,7.20e-02,
-9.164000e-05,6.96e-02,
-9.162000e-05,7.20e-02,
-9.160000e-05,6.96e-02,
-9.158000e-05,7.20e-02,
-9.156000e-05,6.96e-02,
-9.154000e-05,7.20e-02,
-9.152000e-05,6.96e-02,
-9.150000e-05,7.20e-02,
-9.148000e-05,6.96e-02,
-9.146000e-05,7.20e-02,
-9.144000e-05,6.96e-02,
-9.142000e-05,7.12e-02,
-9.140000e-05,6.96e-02,
-9.138000e-05,7.20e-02,
-9.136000e-05,6.96e-02,
-9.134000e-05,7.12e-02,
-9.132000e-05,7.04e-02,
-9.130000e-05,7.12e-02,
-9.128000e-05,6.96e-02,
-9.126000e-05,7.12e-02,
-9.124000e-05,6.96e-02,
-9.122000e-05,7.20e-02,
-9.120000e-05,6.96e-02,
-9.118000e-05,7.04e-02,
-9.116000e-05,7.04e-02,
-9.114000e-05,7.20e-02,
-9.112000e-05,6.96e-02,
-9.110000e-05,7.20e-02,
-9.108000e-05,6.96e-02,
-9.106000e-05,7.20e-02,
-9.104000e-05,6.96e-02,
-9.102000e-05,7.12e-02,
-9.100000e-05,6.96e-02,
-9.098000e-05,7.20e-02,
-9.096000e-05,6.96e-02,
-9.094000e-05,7.12e-02,
-9.092000e-05,6.96e-02,
-9.090000e-05,7.12e-02,
-9.088000e-05,6.96e-02,
-9.086000e-05,7.12e-02,
-9.084000e-05,6.96e-02,
-9.082000e-05,7.12e-02,
-9.080000e-05,6.96e-02,
-9.078000e-05,7.12e-02,
-9.076000e-05,6.96e-02,
-9.074000e-05,7.12e-02,
-9.072000e-05,6.96e-02,
-9.070000e-05,7.28e-02,
-9.068000e-05,6.88e-02,
-9.066000e-05,7.60e-02,
-9.064000e-05,6.32e-02,
-9.062000e-05,1.40e-01,
-9.060000e-05,1.12e-02,
-9.058000e-05,1.14e-01,
-9.056000e-05,4.32e-02,
-9.054000e-05,1.19e-01,
-9.052000e-05,4.16e-02,
-9.050000e-05,7.12e-02,
-9.048000e-05,7.36e-02,
-9.046000e-05,7.92e-02,
-9.044000e-05,6.64e-02,
-9.042000e-05,7.28e-02,
-9.040000e-05,6.88e-02,
-9.038000e-05,7.04e-02,
-9.036000e-05,7.20e-02,
-9.034000e-05,7.12e-02,
-9.032000e-05,7.20e-02,
-9.030000e-05,7.28e-02,
-9.028000e-05,7.12e-02,
-9.026000e-05,7.28e-02,
-9.024000e-05,7.12e-02,
-9.022000e-05,7.28e-02,
-9.020000e-05,7.12e-02,
-9.018000e-05,7.28e-02,
-9.016000e-05,7.04e-02,
-9.014000e-05,7.28e-02,
-9.012000e-05,7.04e-02,
-9.010000e-05,7.28e-02,
-9.008000e-05,7.04e-02,
-9.006000e-05,7.20e-02,
-9.004000e-05,7.12e-02,
-9.002000e-05,7.20e-02,
-9.000000e-05,7.12e-02,
-8.998000e-05,7.20e-02,
-8.996000e-05,7.28e-02,
-8.994000e-05,7.28e-02,
-8.992000e-05,7.20e-02,
-8.990000e-05,7.36e-02,
-8.988000e-05,7.20e-02,
-8.986000e-05,7.36e-02,
-8.984000e-05,7.12e-02,
-8.982000e-05,7.36e-02,
-8.980000e-05,7.12e-02,
-8.978000e-05,7.36e-02,
-8.976000e-05,7.12e-02,
-8.974000e-05,7.36e-02,
-8.972000e-05,7.20e-02,
-8.970000e-05,7.36e-02,
-8.968000e-05,7.20e-02,
-8.966000e-05,7.36e-02,
-8.964000e-05,7.20e-02,
-8.962000e-05,7.36e-02,
-8.960000e-05,7.12e-02,
-8.958000e-05,7.36e-02,
-8.956000e-05,7.12e-02,
-8.954000e-05,7.44e-02,
-8.952000e-05,7.12e-02,
-8.950000e-05,7.44e-02,
-8.948000e-05,7.12e-02,
-8.946000e-05,7.36e-02,
-8.944000e-05,7.20e-02,
-8.942000e-05,7.44e-02,
-8.940000e-05,7.20e-02,
-8.938000e-05,7.44e-02,
-8.936000e-05,7.28e-02,
-8.934000e-05,7.28e-02,
-8.932000e-05,7.44e-02,
-8.930000e-05,7.52e-02,
-8.928000e-05,7.28e-02,
-8.926000e-05,7.52e-02,
-8.924000e-05,7.28e-02,
-8.922000e-05,7.52e-02,
-8.920000e-05,7.28e-02,
-8.918000e-05,7.52e-02,
-8.916000e-05,7.28e-02,
-8.914000e-05,7.52e-02,
-8.912000e-05,7.28e-02,
-8.910000e-05,7.44e-02,
-8.908000e-05,7.36e-02,
-8.906000e-05,7.44e-02,
-8.904000e-05,7.36e-02,
-8.902000e-05,7.52e-02,
-8.900000e-05,7.28e-02,
-8.898000e-05,7.52e-02,
-8.896000e-05,7.28e-02,
-8.894000e-05,7.44e-02,
-8.892000e-05,7.36e-02,
-8.890000e-05,7.52e-02,
